,genome_coverage,normalized_reads,ms2_coverage,ms2_normalized_reads,qbeta_coverage,qbeta_normalized_reads,16s_coverage,t4_coverage,t4_normalized_reads,t7_coverage,t7_normalized_readsgenome_coverage,t7_normalized_reads
IDBD-D100269,,,,,,,,0.9992363339292691,29852.40301897346,0.9999497209512797,,2030695.7319626715
IDBD-D100270,0.0,14.637482616464656,,,,,0.5728,0.9996388865867086,63077.79175521835,0.9998240233294786,,298902.2741890804
IDBD-D100271,,8.428278898491374,,,,,0.407221,0.9994849693941582,49407.77494279907,0.9997988838051184,,181820.85259746911
IDBD-D100272,0.0,4.401729571600569,,,,,,0.9995915274505393,50506.545536937825,0.999748604756398,,88756.47508175387
IDBD-D100278,0.0,49858.75635026672,0.9935556178201177,7967385.4377150675,,,1.0,,,,,
IDBD-D100279,,1093.13061502017,0.8649481647520314,4130.861411604914,,,0.993605,,,,,
IDBD-D100280,,1192.567081898357,0.9198655085458112,9988.061828477852,,,1.0,,,,,
IDBD-D100281,0.0,590.9237044363451,0.9310731297282152,22458.026133454558,,,1.0,,,,,
IDBD-D100282,,617.4706548140821,0.8590641636312693,4894.132303283904,,,0.995204,,,,,
IDBD-D100283,,1703.6064111822495,0.9207060801344914,12779.47142157837,,,1.0,,,,,
IDBD-D100284,,539.3727047991042,0.9134211263659289,22552.42236077897,,,0.995204,,,,,
IDBD-D100306,0.99635,4098.58719657892,,,,,1.0,0.0010563805384522515,25.125438752974222,1.0,,1994078.8762898773
IDBD-D100580,0.45365,70.38863286479715,,,,,1.0,,,0.9523772469068555,,9575031.624339761
IDBD-D100581,0.0649,277.6313936719388,,,,,,,,0.9360620444582782,,164949.96690943907
IDBD-D100582,0.0,3.583825022180293,,,,,,,,0.5804995720177418,,230.79833142841088
IDBD-D100583,,,,,,,,,,0.03185225533680907,,7.29661399897716
IDBD-D100584,0.0,9930.481981377327,0.9946763799383581,6185048.934795564,,,1.0,,,,,
IDBD-D100585,0.0,463.59633894107833,0.27963014850098067,42.85851570939657,,,0.959298,,,,,
IDBD-D100586,0.0,1211.3250382574117,,,,,1.0,,,,,
IDBD-D100587,,1502.1364694495444,,,,,1.0,,,,,
IDBD-D100610,0.0,295.3815731913859,0.9941159988792378,8743658.810000062,,,1.0,,,,,
IDBD-D100611,,44.920991462848754,0.9254693191370131,8639.804024687912,,,0.840198,,,,,
IDBD-D100612,,215.51429236053144,0.9022135051835248,1852.3966557655203,,,0.948718,,,,,
IDBD-D100613,,65.24027503995151,0.5149901933314655,88.07437130393454,,,0.58794,,,,,
IDBD-D100614,,82.88902464661058,0.1074739281575898,14.108770152614566,,,0.798188,,,,,
IDBD-D100615,,137.97263954980954,,,,,0.9696,,,,,
IDBD-D100616,,209.8085655327998,,,,,0.8712,,,,,
IDBD-D100617,0.234,20908.917958265294,,,1.0,7595972.365805502,1.0,0.96643007864953,901302.5428792519,,,
IDBD-D100618,,154.8786986111498,,,0.99312307327484,20696.891408074785,0.9768,0.02419432188758872,103.90596235937896,,,
IDBD-D100619,,138.40877174030464,,,0.9924116670618923,2228.0436426488063,0.864086,,,,,
IDBD-D100620,,171.69629500857408,,,0.8833293810765948,183.4028605773405,0.894563,,,,,
IDBD-D100621,,71.89701846190397,,,0.08062603746739389,7.814893311076517,0.731156,,,,,
IDBD-D100622,,121.60805132608124,,,,,0.562814,,,,,
IDBD-D100623,,152.52305486115625,,,,,0.935148,,,,,
IDBD-D100695,0.0,178.3841782747693,0.9588119921546652,34591.66523711568,,,0.8816,,,,,
IDBD-D100696,0.0,114.04501222461903,0.9660969459232278,35717.891549231055,,,0.730642,,,,,
IDBD-D100697,,139.3174638421425,0.9293919865508545,25058.662603524957,,,0.828666,,,,,
IDBD-D100698,,70.93790459615778,0.930512748669095,21754.29074282172,,,0.773476,,,,,
IDBD-D100699,,100.72988189506712,0.9103390305407677,2217.7646878252913,,,0.9496,,,,,
IDBD-D100700,,109.38764794679385,0.9078173157747268,1910.8222046401963,,,0.794069,,,,,
IDBD-D100701,,69.80151067919488,0.9064163631269263,2136.217066411193,,,0.786058,,,,,
IDBD-D100702,0.0,104.45147525377719,0.9008125525357243,2074.5223557347413,,,0.980785,,,,,
IDBD-D100703,,81.40526080667297,,,0.9900403130187337,2962.1546942509776,0.879103,0.004497162863696729,13.29065482557926,,,
IDBD-D100704,0.0,12.313878294962946,,,0.9651410955655679,1139.0337422840726,0.27542,,,,,
IDBD-D100705,,65.89739066609083,,,0.9914631254446289,2284.442876424482,0.733173,0.010129180248702161,33.79353367491837,,,
IDBD-D100706,,38.94774702523882,,,0.9924116670618923,2091.32467722478,0.719424,0.002698297718218037,8.46690152722583,,,
IDBD-D100707,0.0,71.14002241622107,,,0.99312307327484,28982.445132368463,0.972,0.0314358334931901,117.38103698676476,,,
IDBD-D100708,0.0,20.32584547664015,,,0.99312307327484,19747.482782623025,0.564,0.030170966813734892,234.67112504848174,,,
IDBD-D100709,0.0,15.16886485990879,0.10886150234741784,5.0562882866362635,0.992885937870524,8176.018159490838,0.371022,0.02653627912592056,170.22837231675422,,,
IDBD-D100710,,63.61884799921051,,,0.9981029167654731,23253.464783321186,0.995196,0.03595919352891464,117.92762068146338,,,
IDBD-R000215,,,,,,,,0.9999940801079789,9754748.224733261,,,
IDBD-R000229,0.23985,16223.873223273595,0.9997198094704399,8340450.149407012,,,1.0,,,,,
IDBD-R000230,0.0555,4062.6732260802655,,,1.0,9536929.441575162,1.0,0.0011046722202100688,44.352327795636086,,,
IDBD-D100801,,,,,,,,,,1.0,,2745416.15542876
IDBD-D100803,,,,,,,,,,0.9990698375986726,,16435.87656994154
IDBD-D100804,,,,,,,,,,0.8771595973759327,,1361.6317488031066
IDBD-D100805,,,,,,,,,,0.9329694268472845,,1488.6183223734024
IDBD-D100806,,,,,,,,,,0.2583318726995017,,145.46512473634445
IDBD-D100807,,,,,,,,,,0.28867967048100757,,190.8040597233015
IDBD-D100808,,11.516156262395292,,,,,0.6504,,,0.02995875807330169,,14.80648662307966
IDBD-D100809,,,,,,,,,,0.03603305785123967,,5.011289809529644
IDBD-D100810,,,,,,,,,,0.9978882799537433,,8916.86445470385
IDBD-D101066,,,,,,,,0.9999940801079789,9003006.178809952,,,
IDBD-D101067,,,,,,,,0.6255076307408153,1249.1797508874192,,,
IDBD-D101068,,,,,,,,0.07409928842897906,120.57217338427695,,,
IDBD-D101069,,,,,,,,0.0052939756127007125,7.621849556122537,,,
IDBD-D101070,,,,,,,,0.4751482932951303,903.8313331422119,,,
IDBD-D101071,,,,,,,,0.06266205704407951,94.48943450639827,,,
IDBD-D101072,0.0,1.2038648878359084,,,,,,0.004567907155188951,7.22318932701545,,,
IDBD-D100848,,315.92332540892323,0.9187447464275708,14368.275977315041,,,0.921746,,,,,
IDBD-D100849,,58.27235519844184,0.9232277949005324,14118.22621747849,,,0.811367,,,,,
IDBD-D100850,,201.56217329208175,0.8884841692350799,1058.755152017748,,,0.936573,,,,,
IDBD-D100851,,359.7741322902064,0.8187167273746148,709.4846524883791,,,0.766886,,,,,
IDBD-D100852,,274.6486335689833,,,0.99312307327484,16111.278110936422,0.977582,,,,,
IDBD-D100853,,206.88814370844534,,,0.992885937870524,9947.871576647747,0.959968,,,,,
IDBD-D100854,,103.72308012069377,,,0.9888546359971544,1490.02193942612,0.8224,,,,,
IDBD-D100855,,332.5165582519669,,,0.9905145838273655,1965.0655958632367,0.872323,,,,,
IDBD-D101059,,29037.982061247138,,,1.0,6436121.511437799,1.0,,,,,
IDBD-D101060,,308.5683228048789,,,1.0,152045.55183274692,1.0,,,,,
IDBD-D101061,,123.87668266819892,,,0.9985771875741049,14833.04162756809,0.992794,,,,,
IDBD-D101062,,103.68675150421865,,,0.9900403130187337,1358.0710387237332,0.877265,,,,,
IDBD-D101063,,269.7675320443784,,,1.0,142142.19868125828,1.0,,,,,
IDBD-D101064,,105.49917911318077,,,0.9943087502964193,20134.288987709,0.989608,,,,,
IDBD-D101065,,128.3514216890259,,,0.9945458857007351,1590.882095145558,1.0,,,,,
