batch id,accession,lib type,Enterobacteria phage T7,Escherichia virus T4,Lactobacillus,human,bacteria,virus,parasite,fungus,unclassified
200219B02,IDBD-D101933,DNA,44.91621900168395,0,0,16823.165662448897,9405268.42749134,673.7432850252593,3530.0064842687066,1494.4851049651206,572165.255752951
200219B02,controlNeg,DNA,3.741272313181905,0,0,57002.02496363951,9310541.502401428,703.3591948781982,4068.633640585322,1133.6055108941173,626547.1330162605
200219B02,controlPos,DNA,10297.866773970178,0,0,59327.371921837155,9122415.224775737,2465.1607206587223,1157.0437124360694,605434.2308627458,198903.1012326159
200219B02,controlBlk,DNA,10.235601017091202,0,0,19560.233543661292,9377343.824687902,708.3035903827111,3582.4603559819207,1046.078423946721,597748.8637971091
200221B02,IDBD-D101941,DNA,77229.44112453087,0,0,51274.02519473295,9142137.465332055,18217.106084386705,2086.254670707591,940.9531316631045,708114.7544619237
200221B02,IDBD-D101942,DNA,425.984059482865,0,0,9343976.077122478,330837.13128780306,112.54692480655241,36450.681453476966,313.4371346763126,287884.1420172765
200221B02,IDBD-D101943,DNA,223.8828800516182,0,0,4455594.70802057,5062534.242956033,443.5940294190448,17225.0759950273,1119.414400258091,462859.0817186418
200221B02,IDBD-D101944,DNA,26.549502727813913,0,1,866810.289643275,8557084.675804023,694.711988044464,6335.006345331152,1659.3439204883691,567389.422796111
200221B02,IDBD-D101945,DNA,58.28110540777584,0,1,183652.2920821565,9183375.101458875,705.0592263965077,4292.900934914221,1893.425180564815,626022.9400116847
200221B02,IDBD-D101946,DNA,130.16513105842117,0,0,337945.6879610016,9040758.275694853,662.3108139149077,4235.471274342156,1445.8538577371685,614822.2352670939
200221B02,IDBD-D101947,DNA,239.8655473651836,0,0,82489.76173888662,9262602.669117203,760.9068196973323,4445.508144501402,1789.6635006191195,647671.6251317261
200221B02,IDBD-D101948,DNA,424.16260490827807,0,5,361259.6430900798,8984714.519179963,951.7221882983523,5408.366953996687,3308.7033114174824,643932.8826713362
200221B02,IDBD-D101949,DNA,14495.56562999775,0,1,7177423.968067248,2381261.185053992,5909.67366737599,41214.3961722994,354.22091225102105,379340.9904968345
200221B02,IDBD-D101950,DNA,320.9330618477358,0,1,82927.3817014297,9289772.674873782,752.5326967464149,4074.9891454536255,1175.52493151891,620975.9635892218
200221B02,IDBD-D101951,DNA,226.4534252062297,0,0,952772.0255408048,8409798.23392508,668.8884409270715,10731.012600235092,1383.59115862997,624419.7949091175
