reporting_name	reporting_id	taxids	compound_id	class_type	subclass	nucleic_acid	RNA	DNA	seqids_in_rna_db	seqids_in_dna_db	semantic_group	core
Hubei picorna-like virus 29	29453	1923109	29453_1923109	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 30	29454	1923110	29454_1923110	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 31	29455	1923111	29455_1923111	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 32	29456	1923112	29456_1923112	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 33	29457	1923113	29457_1923113	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 34	29458	1923114	29458_1923114	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 35	29459	1923115	29459_1923115	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 36	29460	1923116	29460_1923116	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 37	29461	1923117	29461_1923117	viral	viral	RNA	virus	.	2	0	.	.
Hubei picorna-like virus 38	29462	1923118	29462_1923118	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 39	29463	1923119	29463_1923119	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 4	29464	1923120	29464_1923120	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 40	29465	1923121	29465_1923121	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 41	29466	1923122	29466_1923122	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 42	29467	1923123	29467_1923123	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 43	29468	1923124	29468_1923124	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 44	29469	1923125	29469_1923125	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 45	29470	1923126	29470_1923126	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 46	29471	1923127	29471_1923127	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 47	29472	1923128	29472_1923128	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 48	29473	1923129	29473_1923129	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 49	29474	1923130	29474_1923130	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 5	29475	1923131	29475_1923131	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 50	29476	1923132	29476_1923132	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 51	29477	1923133	29477_1923133	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 52	29478	1923134	29478_1923134	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 53	29479	1923135	29479_1923135	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 54	29480	1923136	29480_1923136	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 55	29481	1923137	29481_1923137	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 56	29482	1923138	29482_1923138	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 57	29483	1923139	29483_1923139	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 58	29484	1923140	29484_1923140	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 59	29485	1923141	29485_1923141	viral	viral	RNA	virus	.	1	0	.	.
Hubei picorna-like virus 6	29486	1923142	29486_1923142	viral	viral	RNA	virus	.	1	0	.	.
