name	taxid
Actinomyces radicidentis	111015
Actinomyces radingae	131110
Actinomyces ruminicola	332524
Actinomyces slackii	52774
Actinomyces succiniciruminis	1522002
Actinomyces suimastitidis	121163
Actinomyces timonensis	521393
Actinomyces turicensis	131111
Actinomyces urinae	1689268
Actinomyces urogenitalis	103621
Actinomyces vaccimaxillae	183916
Actinomyces viscosus	1656
Actinomyces vulturis	1857645
Actinomyces weissii	675090
Actinomycetospora atypica	1290095
Actinomycetospora chiangmaiensis	402650
Actinomycetospora chibensis	663606
Actinomycetospora chlora	663608
Actinomycetospora cinnamomea	663609
Actinomycetospora corticicola	663602
Actinomycetospora iriomotensis	878213
Actinomycetospora lutea	663604
Actinomycetospora rhizophila	1416876
Actinomycetospora rishiriensis	878212
Actinomycetospora straminea	663607
Actinomycetospora succinea	663603
Actinophytocola algeriensis	1768010
Actinophytocola burenkhanensis	696000
Actinophytocola corallina	657018
Actinophytocola oryzae	502181
Actinophytocola sediminis	1476870
Actinophytocola timorensis	657017
Actinophytocola xanthii	1912961
Actinophytocola xinjiangensis	485602
Actinoplanes abujensis	882441
Actinoplanes arizonaensis	135945
Actinoplanes atraurantiacus	1036182
Actinoplanes auranticolor	47988
Actinoplanes bogorensis	1610840
Actinoplanes brasiliensis	52695
Actinoplanes campanulatus	113559
Actinoplanes capillaceus	76756
Actinoplanes cibodasensis	1609275
Actinoplanes consettensis	113560
Actinoplanes couchii	403638
Actinoplanes cyaneus	52696
Actinoplanes deccanensis	113561
Actinoplanes derwentensis	113562
Actinoplanes digitatis	1868
Actinoplanes durhamensis	113563
Actinoplanes ferrugineus	113564
Actinoplanes friuliensis	196914
Actinoplanes garbadinensis	69485
Actinoplanes globisporus	113565
Actinoplanes hulinensis	1144547
Actinoplanes humidus	113566
Actinoplanes ianthinogenes	122358
Actinoplanes italicus	113567
Actinoplanes kinshanensis	122366
Actinoplanes lichenis	1629072
Actinoplanes liguriensis	69484
Actinoplanes lobatus	113568
Actinoplanes luojiashanensis	1243075
Actinoplanes luteus	1547891
Actinoplanes lutulentus	1287878
Actinoplanes missouriensis	1866
Actinoplanes nipponensis	135950
Actinoplanes octamycinicus	135948
Actinoplanes palleronii	113570
Actinoplanes pallidoaurantiacus	122359
Actinoplanes penicillatus	122360
Actinoplanes philippinensis	35752
Actinoplanes purpeobrunneus	122361
Actinoplanes pyriformis	122362
Actinoplanes rectilineatus	113571
Actinoplanes regularis	52697
Actinoplanes rhizophilus	1416877
Actinoplanes rishiriensis	1050105
Actinoplanes roseosporangius	122363
Actinoplanes rutilosporangius	135951
Actinoplanes sarveparensis	135952
Actinoplanes siamensis	1223317
Actinoplanes sichuanensis	512349
Actinoplanes subglobosus	1547892
Actinoplanes subtropicus	543632
Actinoplanes teichomyceticus	1867
Actinoplanes tereljensis	571912
Actinoplanes toevensis	571911
Actinoplanes tropicalis	1609274
Actinoplanes tuftoflagellus	122364
Actinoplanes utahensis	1869
Actinoplanes violaceus	122365
Actinoplanes xinjiangensis	512350
Actinoplanes yunnanensis	135949
Actinopolymorpha alba	533267
Actinopolymorpha cephalotaxi	504797
Actinopolymorpha pittospori	648752
Actinopolymorpha rutila	446787
Actinopolymorpha singaporensis	117157
Actinopolyspora alba	673379
Actinopolyspora algeriensis	995059
Actinopolyspora biskrensis	1470178
Actinopolyspora erythraea	414996
Actinopolyspora halophila	1850
Actinopolyspora indiensis	151423
Actinopolyspora iraqiensis (Saccharomonospora halophila)	882080
Actinopolyspora lacussalsi	1234544
Actinopolyspora mortivallis	33906
Actinopolyspora mzabensis	995066
Actinopolyspora righensis	995060
Actinopolyspora saharensis	995062
Actinopolyspora salinaria	1434887
Actinopolyspora xinjiangensis	405564
Actinorectispora indica	1034798
Actinorhabdospora filicis	1785913
Actinorugispora endophytica	1605990
Actinospica acidiphila	304899
Actinospica durhamensis	1508375
Actinospica robiniae	479430
Actinosynnema mirum	40567
Actinosynnema mirum	446462
Actinosynnema pretiosum	42197
Actinotalea caeni	1348467
Actinotalea fermentans	43671
Actinotalea fermentans	862422
Actinotalea ferrariae	948458
Actinotalea ferrariae	1386098
Actinotignum sanguinis	1445614
Actinotignum schaalii (Actinobaculum schaalii)	59505
Actinotignum timonense	1870995
Actinotignum urinale	190146
Acutalibacter muris	1796620
Acuticoccus yangtzensis	1443441
Adlercreutzia equolifaciens	446660
Advenella alkanexedens	1481665
Advenella faeciporci	797535
Advenella incenata	267800
Advenella kashmirensis	310575
Advenella mimigardefordensis	1247726
Advenella mimigardefordensis	302406
Aequorivita aestuarii	524290
Aequorivita antarctica	153266
Aequorivita capsosiphonis	487317
Aequorivita echinoideorum	1549647
Aequorivita lipolytica	153267
Aequorivita nionensis	1287690
Aequorivita soesokkakensis	1385699
Aequorivita sublithincola	746697
Aequorivita viscosa	797419
Aequorivita vladivostokensis	171194
Aeribacillus composti	1868734
Aeribacillus pallidus	33936
Aeriscardovia aeriphila	218139
Aerococcus christensenii	87541
Aerococcus sanguinicola	119206
Aerococcus suis	371602
Aerococcus urinae	1376
Aerococcus urinaeequi	51665
Aerococcus urinaehominis	128944
Aerococcus vaginalis	1323230
Aerococcus viridans	1377
Aeromicrobium alkaliterrae	302168
Aeromicrobium camelliae	1538144
Aeromicrobium choanae	1736691
Aeromicrobium erythreum	2041
Aeromicrobium fastidiosum	52699
Aeromicrobium flavum	416568
Aeromicrobium ginsengisoli	363867
Aeromicrobium halocynthiae	560557
Aeromicrobium kwangyangensis	454754
Aeromicrobium marinum	219314
Aeromicrobium massiliense	1033730
Aeromicrobium panaciterrae	363861
Aeromicrobium ponti	460257
Aeromicrobium tamlense	375541
Aeromonas allosaccharophila	656
Aeromonas aquatica	558964
Aeromonas australiensis	1114880
Aeromonas bestiarum	105751
Aeromonas bivalvium	440079
Aeromonas cavernicola	1006623
Aeromonas caviae	648
Aeromonas dhakensis	196024
Aeromonas diversa	502790
Aeromonas encheleia	73010
Aeromonas enteropelogenes	29489
Aeromonas eucrenophila	649
Aeromonas finlandiensis	1543375
Aeromonas fluvialis	591962
Aeromonas hydrophila	644
Aeromonas jandaei	650
