Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,calbicans_reads,calbicans_normalized_reads,calbicans_coverage,saureus_reads,saureus_normalized_reads,saureus_coverage,sagal_reads,sagal_normalized_reads,sagal_coverage,sepiderm_reads,sepiderm_normalized_reads,sepiderm_coverage,efaecalis_reads,efaecalis_normalized_reads,efaecalis_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D101212,4174232,8215,19680.266932935207,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,161288,386389.6400583389,0.999726,465529.9465865817,9254260.424432566,19553.297468851757,4384.039986277715,309.03888427859306,255963.25264144398
IDBD-D101213,3155831,3556,11268.030512407033,67854,215011.51360766785,0.984753,5252,16642.20929447743,0.851081,0,0.0,0,41,129.9182370665603,0.338394,0,0.0,0.0,8104,25679.44861432694,0.0,104,329.5486989005432,0.0,686947.4315956717,8557495.632687556,11622.929111223002,146528.75898614342,15682.081835180654,581723.165784226
IDBD-D101214,3147761,3568,11335.041002159947,70971,225465.021010172,0.966143,5157,16383.073556092728,0.811073,0,0.0,0,49,155.666202103654,0.445211,0,0.0,0.0,6967,22133.19245012566,0.0,75,238.26459505661325,0.0,563130.4282631369,8673774.787857147,11436.700562717437,134279.57205137238,14168.801252699936,603209.7100129266
IDBD-D101215,4116094,6764,16433.05522177093,5218,12677.067141809686,0.667265,99,240.51928843218838,0.0,0,0.0,0,919,2232.6992532240515,0.0,359,872.1861065369255,0.968239,919,2232.6992532240515,0.0,216,524.7693565793201,0.0,6218378.3946625125,2520685.8735490493,17621.074737360224,237419.26204795128,782.2950593450976,1005113.0999437816
IDBD-D101216,463008,598,12915.543575920934,400,8639.159582555809,0.0795964,0,0.0,0.0,0,0.0,0,0,0.0,0.0,14,302.3705853894533,0.0,0,0.0,0.0,0,0.0,0.0,6559281.913055498,2111216.220886032,13909.046927914853,202415.50901928262,820.7201603428018,1112356.5899509296
IDBD-D101217,3455592,36172,104676.70951894784,1740,5035.316669329018,0.0,47846,138459.63296592885,0.999798,0,0.0,0,0,0.0,0.0,4,11.575440619147168,0.273821,0,0.0,0.0,1473,4262.656008000945,0.807829,425070.4365561675,7454575.077150311,102274.8055904748,1416903.3844273281,778.448381637647,600397.8478940801
IDBD-D101218,2887585,28803,99747.71305433434,1431,4955.698273817048,0.0,37529,129966.73690990914,0.999596,0,0.0,0,0,0.0,0.0,4,13.852406076357925,0.274302,0,0.0,0.0,866,2999.0459155314907,0.545305,391811.8427682648,7460653.106315485,97683.704548957,1422178.048438401,789.5871463524018,626883.7107825397
IDBD-D101219,556069,2696,48483.19183410692,0,0.0,0.0,0,0.0,0.0,0,0.0,0,177,3183.0582175952986,0.680927,14,251.76731664595582,0.31232,51,917.1523677816962,0.335633,214,3848.4432687310386,0.0,467316.10645441484,7304381.290811032,48357.30817578394,1280776.306537498,1348.753482031906,897820.2345392389
IDBD-D101220,71655,221,30842.230130486358,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,1116.460819203126,0.0,359779.4989882074,7747261.182052893,29307.09650408206,892610.4249528993,558.230409601563,970483.5670923174
IDBD-D101221,3096375,5348,17271.809777562474,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,108752,351223.6082515845,0.999726,697402.6078882564,8764548.867627468,17000.524807234266,220493.31880020993,300.35121714908564,300254.3296596827
IDBD-D101222,2592973,4814,18565.561615952036,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,96434,371905.14517505583,1.0,561278.5015501512,8916614.249357784,18881.800928895133,217113.71464338424,339.3787748657622,285772.3547449202
